ID,long,lat,name,short_description,street_address,zip,image_filename,moreinfo_link,pdf_link,year_built,year_listed,photo_source_name,photo_source_url,nrhp_reference
1,-85.751944,38.243056,Adath Jeshurun Temple and School,"The Temple is a most fitting example of the work of W.J. Dodd  (1862-1930), one of the finest and most influential architects in Louisville's history.",757 S. Brook St.,40203 ‎,001_adath_jeshurun_temple.jpg,http://en.wikipedia.org/wiki/Adath_Jeshurun_Temple_and_School,http://pdfhost.focus.nps.gov/docs/NRHP/Text/74000882.pdf,1905,1982,Wikimedia Commons,http://en.wikipedia.org/wiki/File:Adath_Jeshurun_Temple_in_Louisville.jpg,74000882
2,-85.757778,38.255278,Almsted Brothers Building,"The Almstedt Brothers Building, designed by the architectural firm Joseph and Joseph, is an excellent example of the Beaux Arts style applied to a small-scale city structure. The outstanding detailing and well organized classical composition make it one of the finest classical revival commercial structures in downtown Louisville. ",425 W. Market St.,40202 ‎,002_almsted_brothers_building.jpg,http://en.wikipedia.org/wiki/Almsted_Brothers_Building,http://pdfhost.focus.nps.gov/docs/NRHP/Text/82002704.pdf,1930,1982,Wikimedia Commons,"http://en.wikipedia.org/wiki/File:Louisville,_KY_-_Almsted_Brothers_Building.jpg",82002704
3,-85.762778,38.246667,Ancient and Accepted Scottish Rite Temple,"The Scottish Rite Temple is an important example of the. pure Neo-classical Revival style, Both the interior and exterior are unaltered and, as such, the building represents one of the finest examples of its type in Louisville.",200 E. Gray St.,40202 ‎,003_ancient_and_accepted_scottish_rite_temple.jpg,http://en.wikipedia.org/wiki/Ancient_and_Accepted_Scottish_Rite_Temple,http://pdfhost.focus.nps.gov/docs/NRHP/Text/82002705.pdf,1930,1982,Wikimedia Commons,http://en.wikipedia.org/wiki/File:AncientandAcceptedScottishRiteTempleLouisville.jpg,82002705
4,-85.756111,38.261111,BELLE OF LOUISVILLE'' (steamer),"The steamer BELLE OF LOUISVILLE is the last remaining traditional Mississippi River stern wheel steamboat in operation. She is further being operated by the City of Louisville and Jefferson County from April to October each year in the same type of service for which she was built in 1914. She is powered by her original engines and the same type of boilers that she was built with.

",401 West River Road,40202,004_belle_of_louisville.jpg,http://www.belleoflouisville.org/,http://pdfhost.focus.nps.gov/docs/NRHP/Text/72000535.pdf,1914,1972,Wikimedia Commons,http://upload.wikimedia.org/wikipedia/commons/5/51/Belle_of_Louisville_2.jpg,72000535
5,-85.754722,38.251944,Bosler Fireproof Garage,"The Bosler Fireproof Garage is a boldly designed, Romanesque Revival structure, representing a creative architectural solution to a utilitarian purpose. It is the oldest known parking garage remaining in Louisville.",423 S. 3rd St.,40202 ‎,005_bosler_garage.jpg,http://digital.library.louisville.edu/cdm/singleitem/collection/cs/id/815/rec/4,http://pdfhost.focus.nps.gov/docs/NRHP/Text/83002639.pdf,1919,1983,Wikimedia Commons,http://commons.wikimedia.org/wiki/File:BoslerGarageLouisville.jpg,83002639
6,-85.749167,38.245,Brandeis House,"The Brandeis House is locally significant as the boyhood home of Louis E. Brandeis, esteemed United States Supreme Court Justice, the first Jewish Supreme Court Justice in the nation l! s history, and a zealous advocate of housing desegregation in the early twentieth century. Since 1913 it has been home to the Louisville Turners, a leading sociocultural organization in Louisville.",310 E. Broadway,40202,006_brandeis_house.jpg,"http://en.wikipedia.org/wiki/Brandeis_House_(Louisville,_Kentucky)",http://pdfhost.focus.nps.gov/docs/NRHP/Text/84001553.pdf,1864,1984,Wikimedia Commons,http://en.m.wikipedia.org/wiki/File:Brandeis_House_in_Louisville.jpg,84001553
7,-85.757778,38.246667,Brown Hotel Building and Theater,"The Brown Hotel is an outstanding example of hotel architecture. It was built by James Graham Brown (1881-1969], a Louisville businessman and philanthropist. The building represents the rise of Broadway to a strong commercial district as it was followed by the Heyburn Building, The Fincastle Building, and The Martin Brown Building (later The Commonwealth Building).",335 W. Broadway,40202,007_brown_hotel.jpg,"http://en.wikipedia.org/wiki/Brown_Hotel_(Louisville,_Kentucky)",http://pdfhost.focus.nps.gov/docs/NRHP/Text/78001346.pdf,1923,1978,Wikimedia Commons,"http://en.wikipedia.org/wiki/Brown_Hotel_(Louisville,_Kentucky)",78001346
8,-85.756944,38.246389,Breslin Building,"The delicate, Renaissance-inspired bas-reliefs in terra cotta which adorn the Breslin Building are a hallmark of the work of one of Louisville's major architectural firms of the 1920s, Joseph & Joseph. The structure is one of several important commercial buildings to remain on Broadway, the city's most important commercial hub of this period.",305 W. Broadway,40202,008_breslin_building.jpg,http://www.nps.gov/history/nr/feature/places/83004589.htm,http://www.nps.gov/history/nr/feature/places/pdfs/83004589.pdf,1927,2013,Wikimedia Commons,http://en.wikipedia.org/wiki/File:Breslin_Building_in_Louisville.jpg,83004589
9,-85.751944,38.256389,J.T.S. Brown and Son's Complex,"The J. T. S Brown & Son's complex is architecturally significant because of its apparent association with Henry Whitestone and D. X. Murphy, two of Louisville's most creative and prolific architects of the nineteenth and early 
twentieth centuries, and because of the artistic use of cast iron and terra cotta as decorative building materials.",105 W. Main St.,40202,009_jts_brown_sons_complex.jpg,http://pre-prowhiskeymen.blogspot.com/2012/05/jts-brown-and-his-grand-kentucky-clan.html,http://pdfhost.focus.nps.gov/docs/NRHP/Text/98001489.pdf,1877,1998,Wikimedia Commons,http://en.wikipedia.org/wiki/File:J.T.S._Brown_and_Son%27s_Complex.jpg,98001489
10,-85.758611,38.251389,The Business Women's Club,"The Business Women's Club is a building located on Muhammad Ali Boulevard in Downtown Louisville, Kentucky. It was placed on the National Register of Historic Places on February 7, 2008. It was co-founded by Jennie Benedict in 1899.",425 Muhammad Ali Blvd.,40202 ‎,010_business_womans_club.jpg,http://en.wikipedia.org/wiki/Business_Women%27s_Club,http://pdfhost.focus.nps.gov/docs/NRHP/Text/08000006.pdf,1911,2008,Wikimedia Commons,http://en.wikipedia.org/wiki/File:BusinessWomansCLubLouisville.jpg,8000006
